season,game_code,team_a_code,team_a_name,team_b_code,team_b_name,actual_quarter,final_score_a,final_score_b,total_plays,is_live
E2025,153,ULK,Fenerbahce Beko Istanbul,PAN,Panathinaikos AKTOR Athens,4,77,81,558,False
E2025,154,HTA,Hapoel IBI Tel Aviv,RED,Crvena Zvezda Meridianbet Belgrade,4,84,78,512,False
E2025,155,OLY,Olympiacos Piraeus,PAM,Valencia Basket,4,92,99,556,False
E2025,156,PRS,Paris Basketball,BAR,FC Barcelona,4,69,85,581,False
E2025,157,BAS,Kosner Baskonia Vitoria-Gasteiz,MCO,AS Monaco,4,85,73,585,False
E2025,158,ASV,LDLC ASVEL Villeurbanne,MUN,FC Bayern Munich,4,76,74,539,False
E2025,159,PAR,Partizan Mozzart Bet Belgrade,VIR,Virtus Bologna,4,68,86,514,False
E2025,160,ZAL,Zalgiris Kaunas,IST,Anadolu Efes Istanbul,4,64,87,514,False
E2025,161,MIL,EA7 Emporio Armani Milan,ULK,Fenerbahce Beko Istanbul,4,72,87,528,False
E2025,162,TEL,Maccabi Rapyd Tel Aviv,PAM,Valencia Basket,4,85,82,615,False
E2025,163,PAN,Panathinaikos AKTOR Athens,HTA,Hapoel IBI Tel Aviv,4,93,82,545,False
E2025,164,MAD,Real Madrid,PRS,Paris Basketball,4,95,90,578,False
E2025,165,IST,Anadolu Efes Istanbul,DUB,Dubai Basketball,4,76,80,535,False
E2025,166,MCO,AS Monaco,MUN,FC Bayern Munich,4,103,77,508,False
E2025,167,RED,Crvena Zvezda Meridianbet Belgrade,VIR,Virtus Bologna,4,90,89,559,False
E2025,168,BAR,FC Barcelona,BAS,Kosner Baskonia Vitoria-Gasteiz,6,134,124,793,False
E2025,169,OLY,Olympiacos Piraeus,ASV,LDLC ASVEL Villeurbanne,4,107,84,528,False
E2025,170,ZAL,Zalgiris Kaunas,PAR,Partizan Mozzart Bet Belgrade,4,109,68,501,False
E2025,171,MUN,FC Bayern Munich,HTA,Hapoel IBI Tel Aviv,4,72,82,509,False
E2025,172,ULK,Fenerbahce Beko Istanbul,BAR,FC Barcelona,4,72,71,509,False
E2025,173,ASV,LDLC ASVEL Villeurbanne,IST,Anadolu Efes Istanbul,6,103,99,616,False
E2025,174,PRS,Paris Basketball,RED,Crvena Zvezda Meridianbet Belgrade,4,102,92,599,False
E2025,175,PAM,Valencia Basket,BAS,Kosner Baskonia Vitoria-Gasteiz,4,91,81,626,False
E2025,176,ZAL,Zalgiris Kaunas,PAN,Panathinaikos AKTOR Athens,4,85,92,529,False
E2025,177,DUB,Dubai Basketball,MIL,EA7 Emporio Armani Milan,4,99,92,543,False
E2025,178,MCO,AS Monaco,MAD,Real Madrid,4,100,95,566,False
E2025,179,PAR,Partizan Mozzart Bet Belgrade,TEL,Maccabi Rapyd Tel Aviv,4,87,112,545,False
E2025,180,VIR,Virtus Bologna,OLY,Olympiacos Piraeus,4,94,97,567,False
E2025,181,BAR,FC Barcelona,MCO,AS Monaco,4,74,90,501,False
E2025,182,HTA,Hapoel IBI Tel Aviv,ZAL,Zalgiris Kaunas,4,80,93,472,False
E2025,183,ASV,LDLC ASVEL Villeurbanne,PRS,Paris Basketball,4,94,89,733,False
E2025,184,PAM,Valencia Basket,PAR,Partizan Mozzart Bet Belgrade,4,86,73,567,False
E2025,185,IST,Anadolu Efes Istanbul,RED,Crvena Zvezda Meridianbet Belgrade,4,65,87,492,False
E2025,186,BAS,Kosner Baskonia Vitoria-Gasteiz,ULK,Fenerbahce Beko Istanbul,4,93,108,646,False
E2025,187,MUN,FC Bayern Munich,TEL,Maccabi Rapyd Tel Aviv,4,95,71,553,False
E2025,188,PAN,Panathinaikos AKTOR Athens,OLY,Olympiacos Piraeus,4,82,87,535,False
E2025,189,MAD,Real Madrid,DUB,Dubai Basketball,4,107,93,529,False
E2025,190,VIR,Virtus Bologna,MIL,EA7 Emporio Armani Milan,4,97,85,536,False
E2025,191,MCO,AS Monaco,PAR,Partizan Mozzart Bet Belgrade,4,101,84,486,False
E2025,192,RED,Crvena Zvezda Meridianbet Belgrade,PAM,Valencia Basket,4,89,106,576,False
E2025,193,BAR,FC Barcelona,TEL,Maccabi Rapyd Tel Aviv,4,93,83,520,False
E2025,194,ULK,Fenerbahce Beko Istanbul,OLY,Olympiacos Piraeus,4,88,80,505,False
E2025,195,HTA,Hapoel IBI Tel Aviv,DUB,Dubai Basketball,4,85,60,520,False
E2025,196,ASV,LDLC ASVEL Villeurbanne,MAD,Real Madrid,4,69,80,506,False
E2025,197,PAN,Panathinaikos AKTOR Athens,MIL,EA7 Emporio Armani Milan,4,74,87,540,False
E2025,198,VIR,Virtus Bologna,ZAL,Zalgiris Kaunas,4,83,79,576,False
E2025,199,IST,Anadolu Efes Istanbul,PRS,Paris Basketball,4,79,84,543,False
E2025,200,MUN,FC Bayern Munich,BAS,Kosner Baskonia Vitoria-Gasteiz,4,96,89,538,False
E2025,201,DUB,Dubai Basketball,ULK,Fenerbahce Beko Istanbul,4,92,81,533,False
E2025,202,MAD,Real Madrid,TEL,Maccabi Rapyd Tel Aviv,4,98,86,553,False
E2025,203,PAM,Valencia Basket,MCO,AS Monaco,4,92,101,588,False
E2025,204,PAN,Panathinaikos AKTOR Athens,VIR,Virtus Bologna,4,84,71,530,False
E2025,205,HTA,Hapoel IBI Tel Aviv,PRS,Paris Basketball,4,93,82,563,False
E2025,206,BAS,Kosner Baskonia Vitoria-Gasteiz,ASV,LDLC ASVEL Villeurbanne,4,78,73,570,False
E2025,207,MIL,EA7 Emporio Armani Milan,IST,Anadolu Efes Istanbul,4,87,74,479,False
E2025,208,BAR,FC Barcelona,PAR,Partizan Mozzart Bet Belgrade,4,88,70,511,False
E2025,209,OLY,Olympiacos Piraeus,MUN,FC Bayern Munich,4,95,80,511,False
E2025,210,ZAL,Zalgiris Kaunas,RED,Crvena Zvezda Meridianbet Belgrade,4,99,67,539,False
E2025,211,IST,Anadolu Efes Istanbul,BAS,Kosner Baskonia Vitoria-Gasteiz,4,75,89,574,False
E2025,212,MUN,FC Bayern Munich,PAN,Panathinaikos AKTOR Athens,4,85,78,455,False
E2025,213,TEL,Maccabi Rapyd Tel Aviv,ZAL,Zalgiris Kaunas,4,100,97,587,False
E2025,214,PRS,Paris Basketball,MCO,AS Monaco,4,87,95,606,False
E2025,215,DUB,Dubai Basketball,VIR,Virtus Bologna,4,72,80,549,False
E2025,216,MIL,EA7 Emporio Armani Milan,RED,Crvena Zvezda Meridianbet Belgrade,4,96,104,552,False
E2025,217,ULK,Fenerbahce Beko Istanbul,PAM,Valencia Basket,4,82,79,601,False
E2025,218,ASV,LDLC ASVEL Villeurbanne,HTA,Hapoel IBI Tel Aviv,4,73,81,521,False
E2025,219,PAR,Partizan Mozzart Bet Belgrade,OLY,Olympiacos Piraeus,4,66,104,508,False
E2025,220,MAD,Real Madrid,BAR,FC Barcelona,4,80,61,511,False
E2025,221,MCO,AS Monaco,RED,Crvena Zvezda Meridianbet Belgrade,5,96,100,633,False
E2025,222,BAR,FC Barcelona,DUB,Dubai Basketball,4,91,89,455,False
E2025,223,HTA,Hapoel IBI Tel Aviv,IST,Anadolu Efes Istanbul,4,71,66,490,False
E2025,224,OLY,Olympiacos Piraeus,TEL,Maccabi Rapyd Tel Aviv,4,100,93,520,False
E2025,225,PAN,Panathinaikos AKTOR Athens,BAS,Kosner Baskonia Vitoria-Gasteiz,4,93,74,511,False
E2025,226,MUN,FC Bayern Munich,PAR,Partizan Mozzart Bet Belgrade,4,63,67,489,False
E2025,227,MAD,Real Madrid,MIL,EA7 Emporio Armani Milan,4,106,77,502,False
E2025,228,PAM,Valencia Basket,PRS,Paris Basketball,4,98,84,687,False
E2025,229,ASV,LDLC ASVEL Villeurbanne,ZAL,Zalgiris Kaunas,4,77,96,554,False
